int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.nb_solar,self.nb_wind,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption / 1000,self.monthly_renew_charge / 1000,self.self_consumption,self.self_sufficiency
58,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.721370806407321,39021727.32827967,21680.999999999716,5228.017567080109,0.9936829462660015,0.2411335993302974
59,date ('2024-01-01 23:55:00'),50,30,6,10,120,2,true,false,0.6721809278610691,31373255.53908614,15810.666666666635,5236.891917562893,0.9953696832787949,0.33122524356317906
60,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.6092920850830484,38033285.50262192,20899.99999999974,5243.412478911328,0.9883326034881244,0.2508809798522198
61,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.6181837917753221,34982904.83595545,18564.333333333194,5243.412478911328,0.9883326034881244,0.28244550368509697
62,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.5703184714006754,33355318.97821967,17440.499999999887,5165.394165391348,0.9736269050081595,0.29617236692705945
63,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.5308759175291912,27478101.346442163,13031.333333333367,5107.39223024666,0.9626941005035632,0.39193166958458947
64,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.602367992876613,34136765.11059271,17964.833333333205,5212.571714947081,0.982519417387481,0.29015419281821625
65,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.6871833830917713,32627542.099478733,16740.166666666595,5256.5891163880715,0.9908162723726505,0.3140105604118693
66,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.6111618590170199,38124931.43281179,20949.499999999764,5256.589116388071,0.9908162723726504,0.2509171634830487
67,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.573074707412289,31813468.76614557,16116.8333333333,5256.58911638807,0.9908162723726502,0.32615520727116043
68,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.6881402115295963,32927626.777259413,17038.9999999999,5212.571714947081,0.9825194173874809,0.3059200490021193
69,date ('2024-01-01 23:55:00'),50,30,6,10,120,4,true,false,0.6348265885727769,31789525.43281215,16098.49999999994,5256.589116388071,0.9908162723726504,0.32652664014585764
70,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.5976631566243253,32214157.930194583,16545.83333333325,5178.704862629761,0.9680961955277576,0.31299147998769805
71,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.5539950150863445,35560256.326538146,18954.8333333332,5276.286315213253,0.9863378670471844,0.2783609975580523
72,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.7069276301872116,41335388.32653775,23376.833333332994,5276.286315213255,0.9863378670471848,0.22570577631187566
73,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.5819012009735551,32275331.676964395,16466.99999999992,5258.807390742555,0.9830703936670917,0.3193543080550544
74,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.6752889115899405,38204824.428290784,21022.833333333103,5248.838829489924,0.9812068917917103,0.24967323606031452
75,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.5740644658817998,30943981.659871697,15420.166666666613,5276.286315213254,0.9863378670471846,0.34216791745959974
76,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.5332181491428726,28650210.326538626,13663.833333333352,5276.286315213254,0.9863378670471846,0.38614978582485976
77,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.48663742400182775,26461510.56180069,12008.333333333369,5263.296190890147,0.98390952052615,0.43830363838085756
78,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.5153865056869691,36824565.01029759,19950.333333333154,5258.807390742553,0.9830703936670915,0.26359496369697755
79,date ('2024-01-01 23:55:00'),50,30,6,10,120,6,true,false,0.4856402616156892,31434819.993205044,15795.99999999996,5276.286315213253,0.9863378670471844,0.33402673557946727
80,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.5061436895636788,30105034.973367102,12824.166666666708,6521.493398422128,0.9999999999999992,0.5085315535841528
81,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.6651196047207462,33895264.64003341,15726.333333333287,6521.493398422129,0.9999999999999994,0.41468619926803113
82,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.6943008835133443,35837330.442422375,17222.333333333227,6515.778319061096,0.9991236548115775,0.3783330744417792
83,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.4668112803541481,33434455.29501522,15764.8333333333,6272.059359857849,0.9617520062774834,0.3978512951732989
84,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.4987020040324269,34558494.97336669,16234.1666666666,6521.49339842213,0.9999999999999996,0.4017140843953897
85,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.6235602363672402,34429200.97336666,16135.166666666604,6521.493398422128,0.9999999999999992,0.4041788680060418
86,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.7224188577265644,38011429.43208067,18989.666666666515,6450.36185069848,0.9890927517091619,0.3396774658515262
87,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.6272870623689626,34773984.97336659,16399.16666666659,6521.493398422135,1.0000000000000004,0.39767224341209406
88,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.7054249494823309,40712237.43208036,21057.666666666395,6450.36185069848,0.9890927517091619,0.30631892663156235
89,date ('2024-01-01 23:55:00'),50,30,6,10,150,0,true,false,0.6966965251654254,38767732.97336652,19457.16666666656,6521.493398422132,0.9999999999999998,0.33517179094706323
