int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency,self.payback_period
158,10,9,30,4,0.9413919413919399,9006528.88237124,5340499.999999991,995023.2059726355,0.7628798690598844,0.18631648833866438,70.52661555810883
159,10,9,30,4,1.0,15038409.579782253,9482000.00000004,1299113.834284447,0.9960248020788963,0.1370084195617424,42.23850910763645
160,10,9,60,4,0.9113231552162849,8730712.97806087,3527439.5419128328,2016029.0888186335,0.7728402704917284,0.5715276094357655,110.4835312332352
161,10,9,60,4,1.0,12125926.824793499,5303833.333333327,2540794.123048733,0.9740077800521406,0.47904863583862034,79.548558550404
162,10,9,60,4,1.0,11685585.313080188,4891342.905926342,2588803.3892665007,0.9924120255541692,0.5292622985254032,82.54614331729545
163,10,9,60,4,0.9551282051282038,11295393.106428454,4695944.830056393,2522916.459268659,0.9671544173758863,0.5372542801441647,85.397647599447
164,10,9,60,4,0.7851098901098884,13185343.703801872,6070166.66666665,2569386.38545726,0.9849685602989797,0.42328102777912746,73.15698564018976
165,10,9,60,4,0.9254578754578751,14584001.481447842,7199500.000000004,2532172.3514467916,0.9707026430707755,0.351715029022403,66.14096969388393
166,10,9,60,4,0.7741758241758236,10037977.345816074,3660238.368055747,2569386.38545726,0.9849685602989797,0.7019724201246685,96.09505648088104
167,10,9,60,4,0.8776312576312586,11057680.101381801,4529354.058219367,2513084.6110365964,0.9633854002078089,0.5548439311067173,87.23348759921718
168,10,9,60,4,0.7523076923076921,12350699.568321392,5431082.336283426,2569386.3854572605,0.98496856029898,0.4730891977630248,78.10083911960145
169,10,9,60,4,1.0,13138285.233553248,5972615.551970271,2608597.3593688514,0.9999999999999991,0.4367596301269242,73.41901799608928
170,10,9,60,4,0.970128205128205,15110654.559676845,7520333.333333344,2584707.610058625,0.9908419176978666,0.34369588361224523,63.83575219660298
171,10,9,60,4,1.0,16471803.910302525,8528666.66666668,2606311.3276244393,0.9991236548115776,0.305594230550821,58.560677704320966
172,10,9,60,4,1.0,17894997.37046866,9676333.333333349,2569386.38545726,0.9849685602989797,0.265533058540486,53.903332871779995
173,10,9,60,4,0.8621864776444916,15534184.70380202,7868666.666666687,2569386.38545726,0.9849685602989797,0.32653389631330004,62.09530904856001
174,10,9,60,4,0.8384615384615386,11836212.491460146,5081999.999999989,2540794.1230487325,0.9740077800521404,0.4999594889903065,81.49566431795314
175,10,9,60,4,1.0,14060751.477940379,6709999.9999999935,2588803.3892665007,0.9924120255541692,0.3858127256731004,68.60230774388843
176,10,9,60,4,0.6666666666666664,10247745.814091682,3760166.66666667,2608069.6994102816,0.9997977227276272,0.6936048134595841,94.12801776109414
177,10,9,60,4,0.9971374045801527,13766053.560291173,6695333.333333336,2454326.448816246,0.9408605893130502,0.36657270469226005,70.07091725855506
178,10,9,60,4,1.0,16086211.65601348,8229833.3333333405,2608597.3593688514,0.9999999999999992,0.3169684310377508,59.964398121008514
179,10,9,60,4,1.0,11589319.776341984,4880333.333333324,2548838.999353512,0.977091765503512,0.5222673996353084,83.23180468012448
180,10,9,90,4,1.0,15896752.681965541,6043814.30564971,3909466.99143666,0.9991236548115778,0.6468542535766065,81.4002724888593
181,10,9,90,4,0.8917948717948716,12500089.698954666,3758327.279608771,3708482.6444374197,0.947759052994079,0.9867375479932817,103.51925715446764
182,10,9,90,4,1.0,7367882.500000003,2198166.6666666674,2198166.666666665,0.5617748707677162,0.999999999999999,175.62712217519748
183,10,9,90,4,0.8967399267399275,12359109.765662547,4048323.604943375,3454839.3383470788,0.8829366545559877,0.8533999935500222,104.70009770405427
184,10,9,90,4,1.0,14068756.637712147,4731021.629920324,3854079.578185892,0.9849685602989803,0.8146400248545893,91.97685576075396
185,10,9,90,4,1.0,14366959.076333521,5465166.666666647,3531682.809338011,0.9025751704337376,0.6462168538936945,90.0677723883537
186,10,9,90,4,1.0,6082358.333333334,1815000.0000000002,1814999.9999999998,0.46385081072563744,0.9999999999999997,212.74642648205258
187,10,9,90,4,1.0,8757970.833333343,2612500.0000000033,2612499.999999998,0.6676640457414474,0.999999999999998,147.75112005111518
188,10,9,90,4,0.9175824175824192,15161034.512710406,5494126.301226035,3900767.315752024,0.9969003205860305,0.7099886500391434,85.35037625006144
189,10,9,90,4,0.7090395480225995,5871908.271785611,2117500.000000002,1519482.6444374195,0.38832686308861303,0.7175833031581668,220.37128989525283
190,10,9,90,4,0.8528205128205119,12457091.271785593,3932499.9999999963,3576482.6444374193,0.9140244485776688,0.9094679324697833,103.87657694463684
191,10,9,90,4,0.59432933478735,10652931.850918759,3629999.9999999963,2888784.0495780543,0.7382726299768986,0.795808278120677,121.46890810048686
192,10,9,90,4,1.0,5417948.0581962345,1728833.333333334,1545660.5131915882,0.39501701495896596,0.8940483060975154,238.8358075973884
193,10,9,90,4,1.0,16800311.865453668,6735666.666666654,3909466.9914366603,0.9991236548115779,0.5804127764789431,77.02237972503598
194,10,9,90,4,0.6631679389312966,12481491.644926505,4368833.333333336,3310279.1499559935,0.8459921032701168,0.7577032350259776,103.67350608498681
195,10,9,90,4,1.0,11803800.830696411,4013166.66666666,3206233.201901627,0.8194015813099318,0.7989284941820587,109.62570603825203
