int(self),self.nb_electrical,self.nb_activeCS_Cparking,self.nb_solar,self.nb_wind,self.avg_statisfied_day,self.monthly_profit,self.monthly_energy_consumption,self.monthly_renew_charge,self.self_consumption,self.self_sufficiency
156,10,12,60,0,1.0,19260208.579840694,10668166.666666735,2604026.149263301,0.9982476367657374,0.24409312589760357
157,10,12,60,0,1.0,11466720.522104016,4718999.999999996,2592373.444983258,0.9937805984785935,0.5493480493713202
158,10,12,60,0,1.0,17500267.24363598,9317000.000000047,2606311.3276244393,0.9991236548115776,0.27973718231452466
159,10,12,60,0,0.7084615384615376,11248787.30233294,4598000.000000001,2563136.148852903,0.9825725459881053,0.5574458783934106
160,10,12,90,0,1.0,8251549.304634193,3052500.0000000037,2085432.392045312,0.5329639150213353,0.6831883348223783
161,10,12,90,0,0.9611504907306437,16718446.839515176,6724666.666666663,3877061.4150879406,0.9908419176978671,0.5765432856777946
162,10,12,90,0,1.0,18877336.31735355,8321500.000000011,3912896.0390532804,1.0,0.4702152303134381
163,10,12,90,0,1.0,6217612.2196953995,2319166.6666666693,1560198.7407005336,0.39873247976146625,0.6727411027095358
164,10,12,90,0,0.8858757062146893,8417245.808573501,3166166.666666669,2093850.0773906733,0.5351151823336654,0.6613202328969854
165,10,12,90,0,1.0,7941267.767268137,3166166.6666666684,1861552.351033738,0.4757479709284937,0.5879514716114346
166,10,12,90,0,0.9464102564102557,8836921.605118947,3186333.3333333363,2285815.977770751,0.5841749831727707,0.7173813090608063
167,10,12,90,0,0.9460256410256402,16200628.532120323,6277333.333333316,3909466.99143666,0.9991236548115778,0.6227910457896141
168,10,12,90,0,1.0,12006853.313468477,4872999.999999986,2757824.294843918,0.7048038760342761,0.5659397280615486
169,10,12,90,0,1.0,16822998.31735346,6748499.999999989,3912896.03905328,0.9999999999999999,0.579817150337599
170,10,12,120,0,0.8886630036630034,20611265.64536022,7602833.333333332,5217194.718737713,1.000000000000001,0.6862171627337678
171,10,12,120,0,1.0,16389348.530866493,5848333.333333313,4275008.230453829,0.8194074518821413,0.7309788937795115
172,10,12,120,0,1.0,11156528.598120762,4148833.3333333246,2804401.62589269,0.5375305651944713,0.6759494538768399
173,10,12,120,0,0.8384615384615397,15313361.1896908,5063666.666666654,4250014.245822763,0.814616757653057,0.8393155643123114
174,10,12,120,0,1.0,18907280.71562595,6614666.6666666595,5015418.602062463,0.961324787064098,0.7582269606020663
175,10,12,120,0,1.0,15222211.668440908,4839999.999999992,4348090.939535191,0.8334154989306602,0.8983658965981817
176,10,12,120,0,0.8358241758241759,18592133.36419984,6554166.66666665,4900174.897120496,0.9392355779862643,0.7476427052186408
177,10,12,120,0,0.9097600872410042,19287584.306634493,6614666.666666654,5201023.08766937,0.9969003205860314,0.7862864978335083
178,10,12,120,0,1.0,20972569.682495534,7879666.6666666735,5217077.443872878,0.9999775214706079,0.6620936728126664
179,10,12,120,0,1.0,21329299.40760389,8275666.666666676,5138772.770914524,0.9849685602989806,0.6209497044646375
180,10,12,150,0,0.886691086691086,26087799.442422908,9758833.333333349,6515778.319061098,0.9991236548115777,0.6676800490899957
181,10,12,150,0,0.9107692307692308,17355735.833333317,5175499.999999995,5175500.000000001,0.7936065688960456,1.0000000000000009
182,10,12,150,0,0.847820512820512,15215245.833333317,4537499.999999994,4537500.000000003,0.6957762160884569,1.0000000000000018
183,10,12,150,0,1.0,22288844.340455297,6920833.333333338,6470621.11946736,0.9921992899713613,0.9349482653053373
184,10,12,150,0,0.8700280112044831,17989271.6666666,5364333.333333313,5364333.333333337,0.8225621043534647,1.0000000000000042
185,10,12,150,0,1.0,13717089.366158957,4214833.333333324,4011997.901167558,0.615196191433431,0.9518758118947132
186,10,12,150,0,0.84322033898305,14487509.199492287,4376166.666666656,4285164.567834228,0.6570833252504739,0.9792050655827181
187,10,12,150,0,1.0,11168087.419431672,3710666.6666666633,3089323.2891321024,0.4737140866967006,0.8325520901362123
188,10,12,150,0,1.0,22092957.361517638,6768666.6666666595,6472008.473166257,0.9924120255541702,0.9561718417954689
189,10,12,150,0,1.0,19526980.000000007,5822666.666666668,5822666.666666666,0.8928425302209848,0.9999999999999996
190,10,12,180,0,0.9302564102564109,23812036.08599478,7199500.000000014,7036386.409302775,0.8991276971167906,0.9773437612754721
191,10,12,180,0,0.9489926739926753,24195462.500000026,7214166.666666674,7214166.6666666595,0.9218449192956474,0.9999999999999979
192,10,12,180,0,1.0,18124589.99999993,5404666.666666646,5404666.666666671,0.6906223181915053,1.0000000000000047
193,10,12,180,0,1.0,21981162.49999997,6554166.666666659,6554166.66666666,0.8375084082546226,1.0000000000000004
194,10,12,180,0,1.0,26930341.960270558,8935666.666666716,7451648.5896878205,0.9521909750879475,0.8339219520671218
195,10,12,180,0,0.9478371501272275,17447998.333333276,5202999.999999983,5203000.000000007,0.6648528287067481,1.0000000000000047
196,10,12,180,0,1.0,23634013.237954006,7723833.333333354,6615301.889354441,0.8453204255019007,0.8564791087354409
197,10,12,180,0,0.9228462377317331,19971550.291558716,6332333.33333332,5714782.637819469,0.7302497409568479,0.9024765970131307
198,10,12,180,0,0.793557422969187,15932170.783813588,5540333.333333313,4248200.154781352,0.5428460291790934,0.7667769968319657
199,10,12,180,0,1.0,16251952.04357115,5182833.333333315,4632131.955541509,0.5919058300181989,0.8937451115300238
200,10,12,210,0,0.9244820065430757,19360907.499999903,5773166.666666638,5773166.666666668,0.6323230315909233,1.0000000000000053
201,10,12,210,0,0.49523809523809603,14538654.166666642,4335833.333333326,4335833.333333337,0.4748948776476768,1.0000000000000024
