int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day
261,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.8715921483097044
262,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
263,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.775128205128205
264,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.6604519774011297
265,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.8125641025641024
266,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.6792948717948715
267,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.9070701563067967
268,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,1.0
269,date ('2023-11-01 23:55:00'),10,30,7,22,false,false,0.9294733044733039
270,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.8695928753180658
271,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.4269720101781175
272,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.9319209039548023
273,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
274,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.9882951653944023
275,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.8071628651460586
276,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.7934798534798527
277,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
278,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
279,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.7883333333333346
280,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
281,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.7778301886792447
282,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.9198836786623033
283,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.7905684754521954
284,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.7649999999999988
285,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
286,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.9570512820512818
287,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
288,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.7610141766630313
289,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.8610531135531125
290,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.7999999999999995
291,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
292,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.9488549618320602
293,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.9643589743589744
294,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.6966101694915257
295,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,1.0
296,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.8928026172300979
297,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.42115384615384616
298,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.8022344322344305
299,date ('2023-11-01 23:55:00'),10,30,7,24,false,false,0.8841693929480177
