int(self),current_date,self.nb_electrical,self.nb_gasoline,self.nb_activeCS_Cparking,self.nb_activeCS_Jparking,self.policy_prohibit_parking,self.policy_force_moving,self.avg_statisfied_day,self.monthly_energy_consumption,self.monthly_profit
189,date ('2023-11-01 23:55:00'),10,30,8,16,true,false,1.0,7582.666666666667,1102962.6666666684
190,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,4588.833333333333,-3540317.0
191,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,3670.3333333333335,-4739877.999999997
192,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,2278.833333333333,-6557176.999999999
193,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,6150.833333333334,-1500345.0
194,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,5888.666666666666,-1842734.6666666684
195,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,3347.666666666667,-5161280.666666666
196,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,5005.0,-2996803.3333333316
197,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,7139.0,-209799.33333333163
198,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,5969.333333333334,-1737384.0
199,date ('2023-11-01 23:55:00'),10,30,8,18,true,false,1.0,4808.833333333333,-3252997.0
200,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,3488.8333333333335,-5710250.333333334
201,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,4356.0,-4577730.666666668
202,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,5008.666666666666,-3725348.000000003
203,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,4581.5,-4283227.666666668
204,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,4678.666666666667,-4156328.0
205,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,5767.666666666667,-2734094.0
206,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,7844.833333333332,-21314.33333333675
207,date ('2023-11-01 23:55:00'),10,30,8,20,true,false,1.0,3327.5,-5920951.666666668
